time_bucket,pickup_zone_name,trip_count,mean_pickups_per_nominal_hour
evening_peak,Greenwich Village South,124973,85.59794520547945
evening_peak,Grymes Hill/Clifton,29,0.01986301369863014
evening_peak,Hamilton Heights,17467,11.963698630136987
evening_peak,Hammels/Arverne,1340,0.9178082191780822
evening_peak,Heartland Village/Todt Hill,46,0.031506849315068496
evening_peak,Highbridge,1278,0.8753424657534247
evening_peak,Highbridge Park,223,0.15273972602739727
evening_peak,Hillcrest/Pomonok,1366,0.9356164383561644
evening_peak,Hollis,510,0.3493150684931507
evening_peak,Homecrest,1615,1.106164383561644
evening_peak,Howard Beach,1051,0.7198630136986301
evening_peak,Hudson Sq,59769,40.93767123287671
evening_peak,Hunts Point,1544,1.0575342465753426
evening_peak,Inwood,4151,2.8431506849315067
evening_peak,Inwood Hill Park,431,0.2952054794520548
evening_peak,JFK Airport,530998,363.6972602739726
evening_peak,Jackson Heights,8811,6.034931506849315
evening_peak,Jamaica,9458,6.478082191780822
evening_peak,Jamaica Bay,19,0.013013698630136987
evening_peak,Jamaica Estates,1006,0.689041095890411
evening_peak,Kensington,1960,1.3424657534246576
evening_peak,Kew Gardens,2720,1.8630136986301369
evening_peak,Kew Gardens Hills,893,0.6116438356164383
evening_peak,Kingsbridge Heights,1138,0.7794520547945205
evening_peak,Kips Bay,140334,96.11917808219178
evening_peak,LaGuardia Airport,299769,205.32123287671232
evening_peak,Laurelton,944,0.6465753424657534
evening_peak,Lenox Hill East,246555,168.87328767123287
evening_peak,Lenox Hill West,260002,178.08356164383562
evening_peak,Lincoln Square East,345346,236.53835616438357
evening_peak,Lincoln Square West,133692,91.56986301369864
evening_peak,Little Italy/NoLiTa,134352,92.02191780821917
evening_peak,Long Island City/Hunters Point,22114,15.146575342465754
evening_peak,Long Island City/Queens Plaza,10183,6.9746575342465755
evening_peak,Longwood,990,0.678082191780822
evening_peak,Lower East Side,85361,58.46643835616438
evening_peak,Madison,1056,0.7232876712328767
evening_peak,Manhattan Beach,776,0.5315068493150685
evening_peak,Manhattan Valley,93070,63.74657534246575
evening_peak,Manhattanville,15787,10.813013698630137
evening_peak,Marble Hill,477,0.3267123287671233
evening_peak,Marine Park/Floyd Bennett Field,171,0.11712328767123288
evening_peak,Marine Park/Mill Basin,2224,1.5232876712328767
evening_peak,Mariners Harbor,17,0.011643835616438357
evening_peak,Maspeth,1903,1.3034246575342465
evening_peak,Meatpacking/West Village West,105550,72.29452054794521
evening_peak,Melrose South,3535,2.421232876712329
evening_peak,Middle Village,1460,1.0
evening_peak,Midtown Center,629425,431.11301369863014
