forecast_origin,pickup_hour,pickup_zone_name,lead_hour,baseline_forecast,improved_forecast
2026-04-01,2026-04-01 05:00:00,Murray Hill,6,17.865384615384617,15.576166861265516
2026-04-01,2026-04-01 06:00:00,Upper East Side South,7,47.09615384615385,46.22904313263146
2026-04-01,2026-04-01 06:00:00,JFK Airport,7,130.1153846153846,102.29030868628082
2026-04-01,2026-04-01 06:00:00,Midtown Center,7,42.86538461538461,43.408867099288734
2026-04-01,2026-04-01 06:00:00,Upper East Side North,7,90.15384615384616,66.228405319254
2026-04-01,2026-04-01 06:00:00,Penn Station/Madison Sq West,7,120.92307692307692,111.65058792053988
2026-04-01,2026-04-01 06:00:00,Midtown East,7,68.84615384615384,57.041692160570534
2026-04-01,2026-04-01 06:00:00,Times Sq/Theatre District,7,39.05769230769231,43.718912224193865
2026-04-01,2026-04-01 06:00:00,Lincoln Square East,7,40.25,39.84920851858366
2026-04-01,2026-04-01 06:00:00,LaGuardia Airport,7,3.4615384615384617,12.701889287968816
2026-04-01,2026-04-01 06:00:00,Murray Hill,7,51.46153846153846,47.04961079995442
2026-04-01,2026-04-01 07:00:00,Upper East Side South,8,202.3846153846154,147.7155588138075
2026-04-01,2026-04-01 07:00:00,JFK Airport,8,132.96153846153845,147.97584960566067
2026-04-01,2026-04-01 07:00:00,Midtown Center,8,96.76923076923077,101.06274595813268
2026-04-01,2026-04-01 07:00:00,Upper East Side North,8,282.63461538461536,208.0792966919229
2026-04-01,2026-04-01 07:00:00,Penn Station/Madison Sq West,8,214.84615384615384,178.29260746367447
2026-04-01,2026-04-01 07:00:00,Midtown East,8,139.84615384615384,119.18582968630294
2026-04-01,2026-04-01 07:00:00,Times Sq/Theatre District,8,78.42307692307692,89.22855398635603
2026-04-01,2026-04-01 07:00:00,Lincoln Square East,8,115.4423076923077,96.36389341454041
2026-04-01,2026-04-01 07:00:00,LaGuardia Airport,8,56.76923076923077,32.274629751211855
2026-04-01,2026-04-01 07:00:00,Murray Hill,8,109.9423076923077,99.46975404883898
2026-04-01,2026-04-01 08:00:00,Upper East Side South,9,303.4423076923077,234.7815024839192
2026-04-01,2026-04-01 08:00:00,JFK Airport,9,106.73076923076923,152.34478031482234
2026-04-01,2026-04-01 08:00:00,Midtown Center,9,168.82692307692307,157.66234995680188
2026-04-01,2026-04-01 08:00:00,Upper East Side North,9,387.40384615384613,299.5344606826152
2026-04-01,2026-04-01 08:00:00,Penn Station/Madison Sq West,9,254.6346153846154,237.2043915244208
2026-04-01,2026-04-01 08:00:00,Midtown East,9,208.0,167.62819787732073
2026-04-01,2026-04-01 08:00:00,Times Sq/Theatre District,9,124.88461538461539,125.27754659415982
2026-04-01,2026-04-01 08:00:00,Lincoln Square East,9,178.23076923076923,152.754451761215
2026-04-01,2026-04-01 08:00:00,LaGuardia Airport,9,94.65384615384616,60.96413510677848
2026-04-01,2026-04-01 08:00:00,Murray Hill,9,174.57692307692307,157.06684367638536
2026-04-01,2026-04-01 09:00:00,Upper East Side South,10,326.46153846153845,288.1811637084642
